query_file,NumberOfLines,NumberOfKeywords,Keywords,Class,time_pretransfer_mean,time_pretransfer_median,time_pretransfer_std,time_total_mean,time_total_median,time_total_std,NumberOfResult,Error
Query_001.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.000384,0.0003805,1.1981467170407627e-05,0.002269,0.001392,0.0027509823699907636,154,
Query_002.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.0003804,0.00037949999999999995,1.4338758663147938e-05,0.0012592,0.0012295000000000001,7.947578247491493e-05,7,
Query_003.sparql,9,15,"{'select': 1, 'distinct': 1, 'DateFunc': 2, 'as': 2, 'where': 1, 'PropertyPath': 2, 'optional': 5, 'Order': 1}",Error,0.00039610000000000003,0.00039349999999999997,9.89331985623521e-06,0.0011409,0.0011385,1.6475233938652684e-05,,"ParseException, cause: Unexpected input: year(?birthdate) as ?birthyear) (year(?deathdate) as ?deathyear) ?genderLabel
WHERE
{
  ?horse wdt:P31/wdt:P279* wd:Q726 .     # Instance et sous-classes de Q726-Cheval
   
  OPTIONAL{?horse wdt:P25 ?mother .}       # P25  : Mère
  OPTIONAL{?horse wdt:P22 ?father .}       # P22  : Père
  OPTIONAL{?horse wdt:P569 ?birthdate .} # P569 : Date de naissance
  OPTIONAL{?horse wdt:P570 ?deathdate .}     # P570 : Date de décès
  OPTIONAL{?horse wdt:P21 ?gender .}       # P21  : Sexe
 
  #SERVICE wikibase:label { #BabelRainbow
#    bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],fr,ar,be,bg,bn,ca,cs,da,de,el,en,es,et,fa,fi,he,hi,hu,hy,id,it,ja,jv,ko,nb,nl,eo,pa,pl,pt,ro,ru,sh,sk,sr,sv,sw,te,th,tr,uk,yue,vec,vi,zh""
#  }
}
ORDER BY ?horse"
Query_004.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.00038930000000000003,0.000383,1.849954954406547e-05,0.0014449,0.0014275,6.307394249785102e-05,40,
Query_005.sparql,3,5,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2}",Error,0.0003755,0.0003745,1.1993053545004019e-05,0.001116,0.0011164999999999999,3.669695718539432e-05,,"ParseException, cause: Error in SELECT: unexpected token: *"
Query_006.sparql,3,4,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1}",Error,0.0003767,0.000375,8.393780766469622e-06,0.0012233,0.0012144999999999999,6.208784099966759e-05,,"This parser currently doesn't support COUNT(*), please specify an explicit expression for the COUNT"
Query_007.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.00039230000000000005,0.00039099999999999996,1.329201932656501e-05,0.0017772,0.0017569999999999999,0.00011004827223642454,449,
Query_008.sparql,5,2,"{'select': 1, 'where': 1}",Success,0.00038369999999999995,0.000383,4.877385456255116e-06,0.0019535,0.001928,7.79091351083641e-05,462,
Query_009.sparql,5,5,"{'select': 1, 'distinct': 1, 'where': 1, 'Order': 2}",Success,0.0003987,0.000395,1.775794032100691e-05,0.0016717,0.001641,7.798155052460954e-05,0,Empty Response
Query_010.sparql,5,7,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2, 'Order': 2}",Success,0.000404,0.00039999999999999996,1.64046063991524e-05,0.0023209999999999997,0.002302,0.00012203642443503852,0,Empty Response
Query_011.sparql,5,3,"{'select': 1, 'where': 1, 'limit': 1}",Success,0.00039249999999999995,0.0003905,1.781541155541709e-05,0.0017329000000000001,0.0017125,8.838859906370535e-05,200,
Query_012.sparql,9,8,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2, 'limit': 1}",Error,0.0003855,0.00038449999999999997,1.042699487974469e-05,0.0021319999999999998,0.002128,2.9253679730553178e-05,,"BAD QUERY (Groupby variable ?authorLabel is not groupable; in ../src/engine/GroupBy.cpp, line 283, function virtual void GroupBy::computeResult(ResultTable*))"
Query_013.sparql,12,17,"{'select': 1, 'where': 1, 'PropertyPath': 2, 'optional': 3, 'filter': 3, 'bound': 1, 'TermFunc': 2, 'bind': 1, 'DateFunc': 1, 'as': 1, 'limit': 1}",Error,0.0003768,0.000374,1.4875781958905175e-05,0.0012147999999999998,0.0012165000000000001,2.880123454144134e-05,,"ParseException, cause: Unexpected input: BOUND(?date) && DATATYPE(?date) = xsd:dateTime).
  # not in the future, and not more than 31 days ago
  BIND(NOW() - ?date AS ?distance).
  FILTER(0 <= ?distance && ?distance < 31).
  # and get a label as well
  OPTIONAL {
    ?event rdfs:label ?eventLabel.
    FILTER(LANG(?eventLabel) = ""en"").
  }
}
# limit to 10 results so we don't timeout
LIMIT 10"
Query_014.sparql,5,5,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1}",Error,0.0003844,0.00038199999999999996,9.45398211219896e-06,0.0015152,0.001498,6.766059086023083e-05,,"BAD QUERY (Groupby variable ?eyeColorLabel is not groupable; in ../src/engine/GroupBy.cpp, line 283, function virtual void GroupBy::computeResult(ResultTable*))"
Query_016.sparql,2,2,"{'select': 1, 'where': 1}",Success,0.0003839,0.000383,1.1049886877249e-05,0.0015477,0.001544,9.223406215830578e-05,325,
Query_017.sparql,7,7,"{'select': 1, 'distinct': 1, 'where': 1, 'filter': 2, 'in': 1, 'StringFunc': 1}",Error,0.0003806,0.0003835,1.0079682534683326e-05,0.0012207000000000001,0.001214,5.542773072509219e-05,,"ParseException, cause: Unexpected input: [ wikibase:wikiGroup ""wikipedia"" ] .
  FILTER(?lang in ('en', 'uz', 'ru', 'ko')) .
  FILTER (!CONTAINS(?name, ':')) .
}"
Query_018.sparql,6,3,"{'select': 1, 'where': 1, 'limit': 1}",Success,0.00040080000000000004,0.000394,2.1755203719774456e-05,0.0013705,0.0013605,8.068216104636213e-05,10,
Query_019.sparql,9,3,"{'select': 1, 'where': 1, 'values': 1}",Success,0.0003999,0.000395,1.8483926951693892e-05,0.0020538,0.0020265,6.658962214773236e-05,4,
Query_020.sparql,7,6,"{'select': 1, 'distinct': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1}",Error,0.0003809,0.00038199999999999996,8.7107851412934e-06,0.0022724,0.0022795000000000003,5.800996083049505e-05,,"BAD QUERY (Groupby variable ?areaLabel is not groupable; in ../src/engine/GroupBy.cpp, line 283, function virtual void GroupBy::computeResult(ResultTable*))"
Query_021.sparql,7,4,"{'select': 1, 'where': 1, 'PropertyPath': 1, 'optional': 1}",Error,0.0003838,0.0003805,9.16272642588196e-06,0.0012836,0.0012805,2.693696345173299e-05,,"NOT YET IMPLEMENTED (The property path (<http://www.wikidata.org/prop/direct/P279>)* can evaluate to the empty path which is not yet supported.; in ../src/engine/QueryPlanner.cpp, line 1487, function std::vector<QueryPlanner::SubtreePlan> QueryPlanner::seedFromPropertyPathTriple(const SparqlTriple&))"
Query_022.sparql,7,4,"{'select': 1, 'where': 1, 'values': 1, 'optional': 1}",Success,0.000394,0.0003855,2.3418890760333697e-05,0.0037899,0.003787,7.023207560968484e-05,2,
Query_023.sparql,5,2,"{'select': 1, 'where': 1}",Success,0.0003865,0.0003815,1.260731709938496e-05,0.001487,0.001483,3.2967997950874855e-05,0,Empty Response
Query_024.sparql,10,3,"{'select': 1, 'where': 1, 'minus': 1}",Error,0.0003764,0.00037549999999999997,6.095535707019973e-06,0.0012220999999999998,0.0012205,2.6244364474428955e-05,,"ParseException, cause: Unexpected input: [];
             pq:P5830 ?form_with_example.
  }
}"
Query_025.sparql,7,4,"{'select': 1, 'distinct': 1, 'where': 1, 'values': 1}",Error,0.0003798,0.0003735,1.424234687277503e-05,0.0011651,0.001159,6.720689448759451e-05,,"ASSERT FAILED (ad_utility::startsWith(literal, ""\"""") || ad_utility::startsWith(literal, ""'""); in ../src/parser/RdfEscaping.cpp, line 194, function std::string RdfEscaping::normalizeRDFLiteral(std::string_view))"
Query_026.sparql,5,3,"{'select': 1, 'where': 1, 'Order': 1}",Success,0.000381,0.00037549999999999997,1.4681810363696831e-05,0.0015055000000000001,0.0015055,3.668862978574639e-05,0,Empty Response
Query_027.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.00037430000000000005,0.0003735,1.0995453605922767e-05,0.0014643,0.0014585000000000002,6.186014692657771e-05,0,Empty Response
Query_028.sparql,6,3,"{'select': 1, 'where': 1, 'minus': 1}",Success,0.00042950000000000003,0.000446,3.136257500766015e-05,0.0047837,0.004783,0.0002810931241500658,0,Empty Response
Query_029.sparql,4,4,"{'select': 1, 'where': 1, 'filter': 1, 'StringFunc': 1}",Error,0.0004287,0.0004175,2.6956961582822662e-05,0.0013117,0.001303,3.630748315889351e-05,,"ASSERT FAILED (ad_utility::startsWith(literal, ""\"""") || ad_utility::startsWith(literal, ""'""); in ../src/parser/RdfEscaping.cpp, line 194, function std::string RdfEscaping::normalizeRDFLiteral(std::string_view))"
Query_030.sparql,8,2,"{'select': 1, 'where': 1}",Error,0.0003875,0.00039150000000000003,1.2076147288491199e-05,0.0012429,0.001235,5.380303584990964e-05,,"ParseException, cause: Unexpected input: [];
             pq:P5830 [].
}"
Query_031.sparql,8,5,"{'select': 1, 'distinct': 1, 'where': 1, 'Order': 1, 'StringFunc': 1}",Error,0.0003864,0.0003865,1.3475904422338415e-05,0.0012461,0.0012385,3.9295037854670566e-05,,"ParseException, cause: Unexpected input: lcase(?lemma) # order a-z"
Query_032.sparql,23,11,"{'select': 1, 'distinct': 1, 'where': 1, 'minus': 2, 'values': 2, 'filter': 1, 'notexists': 1, 'Order': 1, 'StringFunc': 1}",Error,0.00040229999999999997,0.0003985,1.2552556180581987e-05,0.0013701,0.0013700000000000001,3.5908680473296914e-05,,"ParseException, cause: Unexpected input: NOT EXISTS {?sense wdt:P6191 ?filter.}.
  # if you wish to only browse certain items you can insert a FILTER 
  # regular expression here, like in the example above.
  #SERVICE wikibase:label { bd:serviceParam wikibase:language ""de,en"". }
}
order by lcase(?lemma) # order a-z"
Query_033.sparql,8,7,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2}",Error,0.0003837,0.00038449999999999997,6.219146064997798e-06,0.0013351,0.0013035,9.379937218458453e-05,,"ParseException, cause: Unexpected input: a ontolex:LexicalEntry; dct:language ?language.
  ?l p:P5831 ?statement.
  ?statement ps:P5831 ?example;
             pq:P6072 [];
             pq:P5830 [].
  #SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"". }
}
GROUP BY ?languageLabel
ORDER BY DESC(?count)"
Query_034.sparql,6,3,"{'select': 1, 'where': 1, 'Order': 1}",Error,0.0003782,0.000377,5.902918298980962e-06,0.0011533,0.001131,7.167217033130782e-05,,"ParseException, cause: Unexpected input: a ontolex:LexicalEntry; 
       dct:language ?language; 
       wikibase:lemma ?lemma .
  ?l wdt:P31 wd:Q376431.
  #SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"". }
}
ORDER BY ?languageLabel"
Query_035.sparql,7,4,"{'select': 1, 'where': 1, 'Order': 1, 'StringFunc': 1}",Error,0.00039890000000000005,0.00039150000000000003,2.1794239809841694e-05,0.0011894,0.0011805000000000001,5.9084120822208445e-05,,"ParseException, cause: Unexpected input: a ontolex:LexicalEntry ; # get from the special LexicalEntry
       ontolex:sense ?sense ; # the sense
       dct:language ?language ; # the language
       wikibase:lemma ?lemma. # and the lemma
  ?sense wdt:P5137 wd:Q29053744 .
                   # change Q29053744 to anything you want 
  #SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"". }
}
# Lower case before order
order by (LCASE(?languageLabel))"
